品牌,车型,价格,续航(km),电池容量(kWh),用户评分
一汽奥迪,奥迪A3,16.59-20.99万,,,4.44
一汽奥迪,奥迪A4L,28.98-36.28万,,,4.41
一汽奥迪,奥迪A5L,25.58-34.68万,,,4.55
一汽奥迪,奥迪A6L,32.29-55.89万,,,4.55
一汽奥迪,奥迪A6L e-tron,30.98-43.98万,,,4.57
一汽奥迪,奥迪Q2L,17.18-21.00万,,,4.50
一汽奥迪,奥迪Q3,25.18-29.68万,,,4.14
一汽奥迪,奥迪Q6L e-tron,36.98-39.98万,,,4.58
一汽奥迪,奥迪Q3 Sportback,26.38-30.18万,,,4.29
一汽奥迪,奥迪Q4 e-tron,28.99-36.71万,,,4.58
一汽奥迪,奥迪Q5L,30.98-39.98万,,,4.55
一汽奥迪,奥迪Q5L Sportback,37.98-42.98万,,,4.71
一汽奥迪,奥迪Q6L Sportback e-tron,29.98-41.98万,,,4.42
一汽奥迪,奥迪A4,暂无,,,4.04
一汽奥迪,奥迪A6,暂无,,,4.21
一汽奥迪,奥迪A6L新能源,暂无,,,4.67
一汽奥迪,奥迪Q2L e-tron,暂无,,,4.00
一汽奥迪,奥迪Q4,暂无,,,1
一汽奥迪,奥迪Q5,暂无,,,4.28
一汽奥迪,奥迪e-tron,暂无,,,4.53
一汽奥迪,奥迪A5L Sportback,27.99-39.99万,,,4.50
一汽奥迪,奥迪A7L,41.87-66.62万,,,4.48
一汽奥迪,奥迪Q5 e-tron,29.85-43.25万,,,4.71
一汽奥迪,奥迪Q6,46.76-61.06万,,,4.38
一汽奥迪,奥迪Concept Shanghai,暂无,,,1
一汽奥迪,奥迪A4(进口),35.98-43.08万,,,3.71
一汽奥迪,奥迪A5(进口),37.98-49.88万,,,4.43
一汽奥迪,奥迪S4,48.88-52.18万,,,4.14
一汽奥迪,奥迪S5,63.18-70.88万,,,4.57
一汽奥迪,奥迪A6(进口),50.68-61.39万,,,4.07
一汽奥迪,奥迪S6,85.88-85.88万,,,4.14
一汽奥迪,奥迪A7,58.98-78.88万,,,4.57
一汽奥迪,奥迪S7,103.28-103.28万,,,4.86
一汽奥迪,奥迪A8,78.98-207.68万,,,4.43
一汽奥迪,奥迪S8,207.68-207.68万,,,4.56
一汽奥迪,奥迪SQ5,59.88-59.88万,,,4.57
一汽奥迪,奥迪SQ5 Sportback,63.88-63.88万,,,3.86
